Time,strategy,fog_count
0.0,Aggressive,1000.0
0.0,Balanced,1000.0
0.0,Cyclic,1000.0
0.0,Conservative,1000.0
0.0,Opportunistic,1000.0
0.05,Conservative,1000.0
0.05,Opportunistic,1000.0
0.05,Balanced,1000.0
0.05,Aggressive,1000.0
0.05,Cyclic,1000.0
0.1,Aggressive,1000.0
0.1,Opportunistic,1000.0
0.1,Conservative,1000.0
0.1,Balanced,999.98
0.1,Cyclic,1000.0
0.15,Opportunistic,1000.0
0.15,Aggressive,1000.0
0.15,Balanced,999.98
0.15,Conservative,1000.0
0.15,Cyclic,1000.0
0.2,Aggressive,1000.0
0.2,Conservative,1000.0
0.2,Balanced,999.98
0.2,Opportunistic,1000.0
0.2,Cyclic,1000.0
0.25,Balanced,999.98
0.25,Opportunistic,1000.0
0.25,Aggressive,1000.0
0.25,Cyclic,999.98
0.25,Conservative,1000.0
0.3,Conservative,1000.0
0.3,Aggressive,1000.0
0.3,Opportunistic,1000.0
0.3,Cyclic,999.96
0.3,Balanced,999.98
0.35,Cyclic,999.96
0.35,Conservative,1000.0
0.35,Aggressive,1000.0
0.35,Opportunistic,1000.0
0.35,Balanced,999.98
0.4,Aggressive,1000.0
0.4,Cyclic,999.94
0.4,Conservative,1000.0
0.4,Opportunistic,1000.0
0.4,Balanced,999.98
0.45,Aggressive,999.98
0.45,Opportunistic,999.98
0.45,Conservative,1000.0
0.45,Balanced,999.98
0.45,Cyclic,999.92
0.5,Opportunistic,999.98
0.5,Aggressive,999.98
0.5,Conservative,999.98
0.5,Cyclic,999.9
0.5,Balanced,999.98
0.55,Conservative,999.96
0.55,Opportunistic,999.98
0.55,Aggressive,999.98
0.55,Cyclic,999.9
0.55,Balanced,999.98
0.6,Opportunistic,999.98
0.6,Balanced,999.98
0.6,Cyclic,999.9
0.6,Aggressive,999.96
0.6,Conservative,999.96
0.65,Balanced,999.98
0.65,Conservative,999.96
0.65,Opportunistic,999.98
0.65,Aggressive,999.94
0.65,Cyclic,999.9
0.7,Balanced,999.98
0.7,Cyclic,999.9
0.7,Conservative,999.96
0.7,Opportunistic,999.98
0.7,Aggressive,999.92
0.75,Aggressive,999.9
0.75,Opportunistic,999.96
0.75,Balanced,999.98
0.75,Conservative,999.96
0.75,Cyclic,999.88
0.8,Opportunistic,999.94
0.8,Conservative,999.96
0.8,Balanced,999.98
0.8,Cyclic,999.86
0.8,Aggressive,999.88
0.85,Cyclic,999.86
0.85,Conservative,999.96
0.85,Aggressive,999.88
0.85,Balanced,999.98
0.85,Opportunistic,999.94
0.9,Opportunistic,999.94
0.9,Balanced,999.98
0.9,Cyclic,999.84
0.9,Aggressive,999.88
0.9,Conservative,999.96
0.95,Conservative,999.96
0.95,Opportunistic,999.94
0.95,Cyclic,999.82
0.95,Aggressive,999.86
0.95,Balanced,999.98
1.0,Balanced,999.98
1.0,Conservative,999.94
1.0,Cyclic,999.82
1.0,Opportunistic,999.94
1.0,Aggressive,999.86
1.05,Aggressive,999.86
1.05,Opportunistic,999.92
1.05,Balanced,999.98
1.05,Conservative,999.94
1.05,Cyclic,999.78
1.1,Aggressive,999.84
1.1,Opportunistic,999.92
1.1,Cyclic,999.76
1.1,Conservative,999.94
1.1,Balanced,999.96
1.15,Aggressive,999.82
1.15,Opportunistic,999.92
1.15,Conservative,999.94
1.15,Cyclic,999.72
1.15,Balanced,999.94
1.2,Cyclic,999.72
1.2,Conservative,999.94
1.2,Opportunistic,999.9
1.2,Balanced,999.94
1.2,Aggressive,999.82
1.25,Conservative,999.94
1.25,Aggressive,999.8
1.25,Balanced,999.9
1.25,Opportunistic,999.9
1.25,Cyclic,999.66
1.3,Opportunistic,999.9
1.3,Balanced,999.9
1.3,Cyclic,999.64
1.3,Aggressive,999.78
1.3,Conservative,999.94
1.35,Aggressive,999.76
1.35,Opportunistic,999.9
1.35,Balanced,999.9
1.35,Cyclic,999.6
1.35,Conservative,999.94
1.4,Aggressive,999.74
1.4,Opportunistic,999.9
1.4,Cyclic,999.58
1.4,Balanced,999.86
1.4,Conservative,999.94
1.45,Conservative,999.94
1.45,Cyclic,999.56
1.45,Opportunistic,999.9
1.45,Aggressive,999.72
1.45,Balanced,999.84
1.5,Opportunistic,999.9
1.5,Conservative,999.94
1.5,Balanced,999.82
1.5,Cyclic,999.56
1.5,Aggressive,999.72
1.55,Conservative,999.94
1.55,Aggressive,999.68
1.55,Opportunistic,999.9
1.55,Cyclic,999.5
1.55,Balanced,999.82
1.6,Aggressive,999.68
1.6,Conservative,999.94
1.6,Balanced,999.82
1.6,Opportunistic,999.9
1.6,Cyclic,999.48
1.65,Cyclic,999.46
1.65,Opportunistic,999.88
