Time,strategy,fog_count
0.0,Aggressive,1000.0
0.0,Balanced,1000.0
0.0,Opportunistic,1000.0
0.0,Conservative,1000.0
0.0,Progressive,1000.0
0.05,Balanced,1000.0
0.05,Aggressive,1000.0
0.05,Opportunistic,1000.0
0.05,Conservative,1000.0
0.05,Progressive,1000.0
0.1,Progressive,1000.0
0.1,Conservative,1000.0
0.1,Opportunistic,1000.0
0.1,Aggressive,1000.0
0.1,Balanced,1000.0
0.15,Conservative,1000.0
0.15,Aggressive,1000.0
0.15,Opportunistic,1000.0
0.15,Progressive,1000.0
0.15,Balanced,1000.0
0.2,Opportunistic,1000.0
0.2,Conservative,1000.0
0.2,Balanced,1000.0
0.2,Progressive,1000.0
0.2,Aggressive,1000.0
0.25,Balanced,1000.0
0.25,Aggressive,999.98
0.25,Conservative,1000.0
0.25,Progressive,1000.0
0.25,Opportunistic,1000.0
0.3,Opportunistic,1000.0
0.3,Conservative,1000.0
0.3,Progressive,1000.0
0.3,Balanced,1000.0
0.3,Aggressive,999.98
0.35,Conservative,1000.0
0.35,Progressive,999.98
0.35,Aggressive,999.98
0.35,Opportunistic,1000.0
0.35,Balanced,1000.0
0.4,Aggressive,999.98
0.4,Progressive,999.94
0.4,Opportunistic,1000.0
0.4,Conservative,1000.0
0.4,Balanced,1000.0
0.45,Conservative,1000.0
0.45,Aggressive,999.98
0.45,Balanced,1000.0
0.45,Opportunistic,1000.0
0.45,Progressive,999.94
0.5,Balanced,1000.0
0.5,Conservative,1000.0
0.5,Opportunistic,1000.0
0.5,Aggressive,999.98
0.5,Progressive,999.94
0.55,Progressive,999.94
0.55,Conservative,1000.0
0.55,Balanced,1000.0
0.55,Aggressive,999.98
0.55,Opportunistic,1000.0
0.6,Progressive,999.94
0.6,Balanced,1000.0
0.6,Opportunistic,1000.0
0.6,Aggressive,999.98
0.6,Conservative,1000.0
0.65,Balanced,1000.0
0.65,Conservative,1000.0
0.65,Progressive,999.92
0.65,Aggressive,999.98
0.65,Opportunistic,1000.0
0.7,Conservative,1000.0
0.7,Aggressive,999.98
0.7,Balanced,1000.0
0.7,Progressive,999.92
0.7,Opportunistic,999.98
0.75,Aggressive,999.96
0.75,Conservative,1000.0
0.75,Progressive,999.9
0.75,Opportunistic,999.98
0.75,Balanced,1000.0
0.8,Opportunistic,999.98
0.8,Progressive,999.9
0.8,Aggressive,999.94
0.8,Conservative,1000.0
0.8,Balanced,1000.0
0.85,Aggressive,999.94
0.85,Conservative,1000.0
0.85,Progressive,999.9
0.85,Opportunistic,999.98
0.85,Balanced,1000.0
0.9,Progressive,999.86
0.9,Balanced,1000.0
0.9,Opportunistic,999.98
0.9,Conservative,1000.0
0.9,Aggressive,999.94
0.95,Opportunistic,999.98
0.95,Progressive,999.86
0.95,Conservative,1000.0
0.95,Aggressive,999.94
0.95,Balanced,1000.0
1.0,Progressive,999.86
1.0,Balanced,1000.0
1.0,Opportunistic,999.98
1.0,Aggressive,999.92
1.0,Conservative,1000.0
1.05,Balanced,1000.0
1.05,Aggressive,999.92
1.05,Progressive,999.86
1.05,Conservative,1000.0
1.05,Opportunistic,999.98
1.1,Opportunistic,999.96
1.1,Progressive,999.86
1.1,Conservative,1000.0
1.1,Balanced,999.98
1.1,Aggressive,999.92
1.15,Aggressive,999.88
1.15,Progressive,999.86
1.15,Conservative,1000.0
1.15,Balanced,999.98
1.15,Opportunistic,999.96
1.2,Conservative,1000.0
1.2,Balanced,999.98
1.2,Opportunistic,999.94
1.2,Aggressive,999.86
1.2,Progressive,999.84
1.25,Aggressive,999.86
1.25,Conservative,1000.0
1.25,Progressive,999.84
1.25,Opportunistic,999.94
1.25,Balanced,999.98
1.3,Progressive,999.84
1.3,Aggressive,999.82
1.3,Opportunistic,999.94
1.3,Conservative,1000.0
1.3,Balanced,999.98
1.35,Conservative,1000.0
1.35,Opportunistic,999.94
1.35,Balanced,999.98
1.35,Progressive,999.82
1.35,Aggressive,999.8
1.4,Aggressive,999.8
1.4,Opportunistic,999.94
1.4,Conservative,1000.0
1.4,Balanced,999.96
1.4,Progressive,999.8
1.45,Progressive,999.8
1.45,Balanced,999.94
1.45,Opportunistic,999.92
1.45,Aggressive,999.78
1.45,Conservative,1000.0
1.5,Balanced,999.94
1.5,Opportunistic,999.92
1.5,Conservative,1000.0
1.5,Aggressive,999.74
1.5,Progressive,999.8
1.55,Opportunistic,999.9
1.55,Conservative,1000.0
1.55,Balanced,999.94
1.55,Aggressive,999.7
1.55,Progressive,999.78
1.6,Progressive,999.76
1.6,Aggressive,999.66
1.6,Balanced,999.92
1.6,Opportunistic,999.88
1.6,Conservative,1000.0
1.65,Balanced,999.92
